location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
36,New York,2020-03-28,1393,2020-07-19,13,0.00933237616654702,0.009246088193456615
36,New York,2020-04-04,4403,2020-07-19,106,0.024074494662729956,0.023508538478598358
36,New York,2020-04-11,6507,2020-07-19,160,0.02458890425695405,0.023998800059997
36,New York,2020-04-18,6262,2020-07-19,197,0.031459597572660494,0.03050007741136399
36,New York,2020-04-25,3249,2020-07-19,26,0.008002462296091105,0.007938931297709924
36,New York,2020-05-02,2189,2020-07-19,511,0.2334399269072636,0.18925925925925927
36,New York,2020-05-09,2414,2020-07-19,-159,-0.06586578293289147,-0.070509977827051
36,New York,2020-05-16,1437,2020-07-19,-46,-0.032011134307585246,-0.03306973400431344
36,New York,2020-05-23,982,2020-07-19,-68,-0.06924643584521385,-0.07439824945295405
36,New York,2020-05-30,679,2020-07-19,-21,-0.030927835051546393,-0.031914893617021274
36,New York,2020-06-06,570,2020-07-19,-25,-0.043859649122807015,-0.045871559633027525
36,New York,2020-06-13,515,2020-07-19,-48,-0.09320388349514563,-0.10278372591006424
36,New York,2020-06-20,288,2020-07-19,-26,-0.09027777777777778,-0.09923664122137404
36,New York,2020-06-27,285,2020-07-19,-50,-0.17543859649122806,-0.2127659574468085
41,Oregon,2020-06-20,15,2020-07-19,1,0.06666666666666667,0.0625
48,Texas,2020-05-30,174,2020-07-19,5,0.028735632183908046,0.027932960893854747
48,Texas,2020-06-06,181,2020-07-19,-5,-0.027624309392265192,-0.028409090909090908
48,Texas,2020-07-04,219,2020-07-19,13,0.0593607305936073,0.05603448275862069
69,Northern Mariana Islands,2020-06-06,15,2020-07-19,-15,-1,-Inf
06,California,2020-05-23,530,2020-07-26,-1,-0.0018867924528301887,-0.001890359168241966
06,California,2020-06-06,462,2020-07-26,1,0.0021645021645021645,0.0021598272138228943
06,California,2020-06-13,470,2020-07-26,-1,-0.002127659574468085,-0.0021321961620469083
08,Colorado,2020-03-14,0,2020-07-26,2,2,2
08,Colorado,2020-03-21,6,2020-07-26,-2,-0.3333333333333333,-0.5
08,Colorado,2020-03-28,25,2020-07-26,13,0.52,0.34210526315789475
08,Colorado,2020-04-04,80,2020-07-26,2,0.025,0.024390243902439025
08,Colorado,2020-04-11,139,2020-07-26,9,0.06474820143884892,0.060810810810810814
08,Colorado,2020-04-18,139,2020-07-26,-2,-0.014388489208633094,-0.014598540145985401
08,Colorado,2020-04-25,295,2020-07-26,-22,-0.07457627118644068,-0.08058608058608059
25,Massachusetts,2020-06-20,251,2020-07-26,1,0.00398406374501992,0.003968253968253968
26,Michigan,2020-03-14,0,2020-07-26,1,1,1
26,Michigan,2020-03-21,3,2020-07-26,2,0.6666666666666666,0.4
26,Michigan,2020-03-28,108,2020-07-26,16,0.14814814814814814,0.12903225806451613
26,Michigan,2020-04-04,429,2020-07-26,26,0.06060606060606061,0.05714285714285714
26,Michigan,2020-04-11,844,2020-07-26,58,0.06872037914691943,0.06430155210643015
26,Michigan,2020-04-18,924,2020-07-26,49,0.05303030303030303,0.050359712230215826
26,Michigan,2020-04-25,847,2020-07-26,32,0.03778040141676505,0.03640500568828214
